year,county,total_weight,total_value,total_trips,total_harvs
2018,Cumberland,59690731.39,77022245.33,53970,1745
2018,Hancock,37063742.9,149329743.4,95443,3145
2018,Knox,52450552.26,139222503.5,64605,1724
2018,Lincoln,10787569.39,38148031.38,42738,1380
2018,Not-Specified,85472933.84,124425650.6,76410,3556
2018,Penobscot,175.38,283237.6,79,40
2018,Sagadahoc,2271940.33,5224261.685,8409,292
2018,Waldo,429.12,988249.35,526,120
2018,Washington,29554477.56,92126480.95,93543,3562
2018,York,4650840.68,21256622.69,13566,242
2019,Cumberland,33272884.22,68194970.24,53458,1753
2019,Hancock,29122317.15,133732452.6,85598,2923
2019,Knox,34968188.15,134225489.2,61102,1474
2019,Lincoln,11566391.74,36538589.66,36035,1307
2019,Not-Specified,77938490.79,185328029,85412,3719
2019,Sagadahoc,2014985.69,4034093.899,7314,255
2019,UK,12400,3360.4,0,1
2019,Waldo,254098.38,1882004.965,1041,95
2019,Washington,26709597.91,95484715.63,86251,2843
2019,York,3942163.12,20057975.16,13858,295
2020,Cumberland,30412407.81,54060703.55,46609,1693
2020,Hancock,28634425.59,111725705,71318,2267
2020,Knox,32833121.45,98573414.22,46948,1354
2020,Lincoln,11292323.96,27939103.81,26782,945
2020,Not-Specified,63057129.42,119712380.5,82142,3175
2020,Penobscot,50.32,34494.37,13,9
2020,Sagadahoc,1942325.01,3787109.755,5914,255
2020,UK,42700,11230.1,0,9
2020,Waldo,46155.23,201564.445,175,58
2020,Washington,24939959.6,83605174.95,73452,2674
2020,York,3873127.79,15324796.27,10417,258
